国・地域,満足度,%
全体 ,大変満足,42.4
韓国 ,大変満足,22.1
台湾,大変満足,39.6
中国 ,大変満足,36.3
香港 ,大変満足,40.6
タイ,大変満足,58.3
シンガポール ,大変満足,54.9
マレーシア,大変満足,57.6
米国,大変満足,74.8
カナダ,大変満足,75.3
英国,大変満足,83.3
ドイツ ,大変満足,63.5
フランス,大変満足,68.5
イタリア ,大変満足,67.9
スペイン ,大変満足,68.2
オーストラリア,大変満足,75.6
インド,大変満足,64.9
インドネシア ,大変満足,62.5
フィリピン,大変満足,85.8
ベトナム,大変満足,47.5
ロシア ,大変満足,64.0
その他,大変満足,71.0
全体 ,満足,47.4
韓国 ,満足,53.1
台湾,満足,54.4
中国 ,満足,55.5
香港 ,満足,53.2
タイ,満足,35.5
シンガポール ,満足,40.5
マレーシア,満足,38.1
米国,満足,20.7
カナダ,満足,22.7
英国,満足,13.9
ドイツ ,満足,30.6
フランス,満足,27.6
イタリア ,満足,25.5
スペイン ,満足,29.5
オーストラリア,満足,22.2
インド,満足,26.6
インドネシア ,満足,33.1
フィリピン,満足,11.4
ベトナム,満足,37.2
ロシア ,満足,31.6
その他,満足,23.1
全体 ,やや満足,5.4
韓国 ,やや満足,10.8
台湾,やや満足,3.9
中国 ,やや満足,6.2
香港 ,やや満足,4.2
タイ,やや満足,2.6
シンガポール ,やや満足,2.1
マレーシア,やや満足,1.8
米国,やや満足,1.5
カナダ,やや満足,0.0
英国,やや満足,0.6
ドイツ ,やや満足,2.0
フランス,やや満足,1.7
イタリア ,やや満足,1.3
スペイン ,やや満足,0.8
オーストラリア,やや満足,1.8
インド,やや満足,3.1
インドネシア ,やや満足,1.7
フィリピン,やや満足,0.4
ベトナム,やや満足,5.3
ロシア ,やや満足,2.2
その他,やや満足,1.8
全体 ,普通,3.4
韓国 ,普通,11.4
台湾,普通,1.3
中国 ,普通,1.5
香港 ,普通,1.5
タイ,普通,1.9
シンガポール ,普通,1.7
マレーシア,普通,1.4
米国,普通,1.4
カナダ,普通,1.3
英国,普通,0.5
ドイツ ,普通,2.3
フランス,普通,0.9
イタリア ,普通,1.5
スペイン ,普通,1.2
オーストラリア,普通,0.0
インド,普通,2.6
インドネシア ,普通,1.8
フィリピン,普通,0.4
ベトナム,普通,3.0
ロシア ,普通,1.0
その他,普通,0.7
全体 ,やや不満,0.3
韓国 ,やや不満,0.9
台湾,やや不満,0.0
中国 ,やや不満,0.3
香港 ,やや不満,0.0
タイ,やや不満,0.0
シンガポール ,やや不満,0.3
マレーシア,やや不満,0.0
米国,やや不満,0.2
カナダ,やや不満,0.4
英国,やや不満,0.0
ドイツ ,やや不満,0.5
フランス,やや不満,0.3
イタリア ,やや不満,0.6
スペイン ,やや不満,0.0
オーストラリア,やや不満,0.2
インド,やや不満,0.0
インドネシア ,やや不満,0.0
フィリピン,やや不満,0.0
ベトナム,やや不満,3.0
ロシア ,やや不満,0.0
その他,やや不満,0.0
全体 ,不満,0.1
韓国 ,不満,0.3
台湾,不満,0.0
中国 ,不満,0.0
香港 ,不満,0.1
タイ,不満,0.0
シンガポール ,不満,0.0
マレーシア,不満,0.4
米国,不満,0.0
カナダ,不満,0.0
英国,不満,0.0
ドイツ ,不満,0.0
フランス,不満,0.0
イタリア ,不満,0.0
スペイン ,不満,0.0
オーストラリア,不満,0.0
インド,不満,0.0
インドネシア ,不満,0.0
フィリピン,不満,0.0
ベトナム,不満,1.5
ロシア ,不満,0.6
その他,不満,0.0
全体 ,大変不満,0.8
韓国 ,大変不満,1.3
台湾,大変不満,0.7
中国 ,大変不満,0.2
香港 ,大変不満,0.2
タイ,大変不満,1.1
シンガポール ,大変不満,0.3
マレーシア,大変不満,0.8
米国,大変不満,0.9
カナダ,大変不満,0.3
英国,大変不満,1.2
ドイツ ,大変不満,1.1
フランス,大変不満,0.3
イタリア ,大変不満,2.6
スペイン ,大変不満,0.0
オーストラリア,大変不満,0.2
インド,大変不満,2.8
インドネシア ,大変不満,0.4
フィリピン,大変不満,2.1
ベトナム,大変不満,1.4
ロシア ,大変不満,0.0
その他,大変不満,3.5
全体 ,無回答,0.2
韓国 ,無回答,0.2
台湾,無回答,0.0
中国 ,無回答,0.1
香港 ,無回答,0.1
タイ,無回答,0.6
シンガポール ,無回答,0.3
マレーシア,無回答,0.0
米国,無回答,0.4
カナダ,無回答,0.0
英国,無回答,0.6
ドイツ ,無回答,0.0
フランス,無回答,0.6
イタリア ,無回答,0.6
スペイン ,無回答,0.3
オーストラリア,無回答,0.0
インド,無回答,0.0
インドネシア ,無回答,0.5
フィリピン,無回答,0.0
ベトナム,無回答,1.1
ロシア ,無回答,0.5
その他,無回答,0.0
